label,model,precision,recall,f1,auc_roc,support
Anaemia,RF_base,0.9487,0.1318,0.2314,0.7405,1685
Anaemia,RF_balanced,0.977,0.1258,0.2229,0.7488,1685
Anaemia,XGB_weighted,0.1997,0.4605,0.2786,0.7178,1685
Anaemia,XGB_SMOTE,0.4432,0.0231,0.044,0.6717,1685
Anaemia,AdaBoost_SMOTE,0.2402,0.0291,0.0519,0.6353,1685
Diabetes_Risk,RF_base,0.9402,0.1248,0.2203,0.7447,1763
Diabetes_Risk,RF_balanced,0.9487,0.1259,0.2223,0.7415,1763
Diabetes_Risk,XGB_weighted,0.1889,0.5649,0.2831,0.729,1763
Diabetes_Risk,XGB_SMOTE,0.3015,0.0233,0.0432,0.6933,1763
Diabetes_Risk,AdaBoost_SMOTE,0.2103,0.0579,0.0907,0.661,1763
Dyslipidemia,RF_base,0.9498,0.1387,0.242,0.6907,4500
Dyslipidemia,RF_balanced,0.9867,0.1318,0.2325,0.6961,4500
Dyslipidemia,XGB_weighted,0.3595,0.2976,0.3256,0.6285,4500
Dyslipidemia,XGB_SMOTE,0.7213,0.0196,0.0381,0.63,4500
Dyslipidemia,AdaBoost_SMOTE,0.4848,0.0071,0.014,0.5981,4500
Liver_Stress,RF_base,0.9783,0.1438,0.2508,0.7039,3136
Liver_Stress,RF_balanced,0.9977,0.1393,0.2445,0.7049,3136
Liver_Stress,XGB_weighted,0.2558,0.418,0.3174,0.6456,3136
Liver_Stress,XGB_SMOTE,0.4762,0.0096,0.0188,0.6315,3136
Liver_Stress,AdaBoost_SMOTE,0.2283,0.0134,0.0253,0.6001,3136
Thyroid_Abnormal,RF_base,0.9734,0.1439,0.2507,0.6867,2036
Thyroid_Abnormal,RF_balanced,0.9701,0.1434,0.2499,0.6851,2036
Thyroid_Abnormal,XGB_weighted,0.1477,0.442,0.2214,0.6286,2036
Thyroid_Abnormal,XGB_SMOTE,0.3529,0.0029,0.0058,0.6001,2036
Thyroid_Abnormal,AdaBoost_SMOTE,0.1095,0.0074,0.0138,0.5746,2036
Kidney_Risk,RF_base,0.9181,0.1617,0.2749,0.7539,3328
Kidney_Risk,RF_balanced,0.9518,0.1541,0.2653,0.751,3328
Kidney_Risk,XGB_weighted,0.3429,0.4225,0.3786,0.7015,3328
Kidney_Risk,XGB_SMOTE,0.5946,0.0595,0.1082,0.6897,3328
Kidney_Risk,AdaBoost_SMOTE,0.4799,0.061,0.1082,0.6662,3328
