label,column,cluster,direction,low_pct,high_pct,source
Anaemia,Hemoglobin,0,low,7.1,14.4,cluster
Anaemia,Hemoglobin,1,low,11.8,16.7,cluster
Anaemia,Hemoglobin,2,low,9.2,15.1,cluster
Anaemia,Hemoglobin,3,low,10.8,16.3,cluster
Anaemia,Hemoglobin,4,low,11.09,15.7,cluster
Anaemia,RBC Count,0,low,2.4395,5.15,cluster
Anaemia,RBC Count,1,low,4.08,5.86,cluster
Anaemia,RBC Count,2,low,3.6,5.59,cluster
Anaemia,RBC Count,3,low,4.0,5.76,cluster
Anaemia,RBC Count,4,low,3.6,5.682,cluster
Anaemia,MCV,0,low,76.495,102.205,cluster
Anaemia,MCV,1,low,78.6,102.0,cluster
Anaemia,MCV,2,low,67.4095,99.3,cluster
Anaemia,MCV,3,low,73.0,95.9,cluster
Anaemia,MCV,4,low,86.75,91.22,cluster
Anaemia,MCH,0,low,24.3,32.9,cluster
Anaemia,MCH,1,low,25.2,33.4,cluster
Anaemia,MCH,2,low,20.4,32.3,cluster
Anaemia,MCH,3,low,23.1,32.0,cluster
Anaemia,MCH,4,low,28.6,30.96,cluster
Anaemia,MCHC,0,low,29.1,34.6015,cluster
Anaemia,MCHC,1,low,29.2,35.1,cluster
Anaemia,MCHC,2,low,28.2,34.6,cluster
Anaemia,MCHC,3,low,30.3,35.1,cluster
Anaemia,MCHC,4,low,30.59,34.64,cluster
Anaemia,MCHC,0,low,29.1,34.6015,cluster
Anaemia,MCHC,1,low,29.2,35.1,cluster
Anaemia,MCHC,2,low,28.2,34.6,cluster
Anaemia,MCHC,3,low,30.3,35.1,cluster
Anaemia,MCHC,4,low,30.59,34.64,cluster
Diabetes_Risk,HbA1c,0,high,5.095,9.5,cluster
Diabetes_Risk,HbA1c,1,high,5.1,9.8,cluster
Diabetes_Risk,HbA1c,2,high,5.0,9.2,cluster
Diabetes_Risk,HbA1c,3,high,5.0,9.9,cluster
Diabetes_Risk,HbA1c,4,high,5.2,10.24,cluster
Diabetes_Risk,HbA1c_missing,0,high,0.0,1.0,cluster
Diabetes_Risk,HbA1c_missing,1,high,0.0,1.0,cluster
Diabetes_Risk,HbA1c_missing,2,high,0.0,1.0,cluster
Diabetes_Risk,HbA1c_missing,3,high,0.0,1.0,cluster
Diabetes_Risk,HbA1c_missing,4,high,0.0,1.0,cluster
Diabetes_Risk,Estimated Average Glucose (eAG),0,high,97.0,226.141,cluster
Diabetes_Risk,Estimated Average Glucose (eAG),1,high,97.0,240.0,cluster
Diabetes_Risk,Estimated Average Glucose (eAG),2,high,96.8,217.34,cluster
Diabetes_Risk,Estimated Average Glucose (eAG),3,high,99.67,237.43,cluster
Diabetes_Risk,Estimated Average Glucose (eAG),4,high,107.108,273.4,cluster
Diabetes_Risk,Glucose Fasting,0,high,72.0,232.15,cluster
Diabetes_Risk,Glucose Fasting,1,high,80.0,197.313,cluster
Diabetes_Risk,Glucose Fasting,2,high,79.21,172.604,cluster
Diabetes_Risk,Glucose Fasting,3,high,80.0,210.0,cluster
Diabetes_Risk,Glucose Fasting,4,high,83.9,381.0514,cluster
Diabetes_Risk,Estimated Average Glucose (eAG)_missing,0,high,0.0,1.0,cluster
Diabetes_Risk,Estimated Average Glucose (eAG)_missing,1,high,0.0,1.0,cluster
Diabetes_Risk,Estimated Average Glucose (eAG)_missing,2,high,0.0,1.0,cluster
Diabetes_Risk,Estimated Average Glucose (eAG)_missing,3,high,0.0,1.0,cluster
Diabetes_Risk,Estimated Average Glucose (eAG)_missing,4,high,0.0,1.0,cluster
Diabetes_Risk,Glucose Fasting_missing,0,high,0.0,1.0,cluster
Diabetes_Risk,Glucose Fasting_missing,1,high,0.0,1.0,cluster
Diabetes_Risk,Glucose Fasting_missing,2,high,0.0,1.0,cluster
Diabetes_Risk,Glucose Fasting_missing,3,high,0.0,1.0,cluster
Diabetes_Risk,Glucose Fasting_missing,4,high,0.0,1.0,cluster
Dyslipidemia,HDL Cholesterol,0,high,24.294,62.13,cluster
Dyslipidemia,HDL Cholesterol,1,high,28.319,60.0,cluster
Dyslipidemia,HDL Cholesterol,2,high,29.8585,66.0,cluster
Dyslipidemia,HDL Cholesterol,3,high,30.0,62.221,cluster
Dyslipidemia,HDL Cholesterol,4,high,29.0,73.1,cluster
Dyslipidemia,LDL Cholesterol,0,high,36.91,153.043,cluster
Dyslipidemia,LDL Cholesterol,1,high,76.5,185.524,cluster
