Model,label,Threshold,Val_F1
XGB_weighted,Anaemia,0.5,0.4333868378812199
XGB_weighted,Diabetes_Risk,0.45,0.412590799031477
XGB_weighted,Dyslipidemia,0.35,0.41787770770496296
XGB_weighted,Kidney_Risk,0.4,0.42825456406756524
XGB_weighted,Liver_Stress,0.4,0.5407523510971787
XGB_weighted,Thyroid_Abnormal,0.35,0.47843421529539687
RF_tuned,Anaemia,0.45,0.408130081300813
RF_tuned,Diabetes_Risk,0.4,0.3857729138166895
RF_tuned,Dyslipidemia,0.4,0.4272478141719953
RF_tuned,Kidney_Risk,0.4,0.4368098159509202
RF_tuned,Liver_Stress,0.45,0.5562810133194045
RF_tuned,Thyroid_Abnormal,0.45,0.4977709845879506
LGBM_weighted,Anaemia,0.55,0.4312360109425516
LGBM_weighted,Diabetes_Risk,0.65,0.42555190230155004
LGBM_weighted,Dyslipidemia,0.45,0.4237530928506316
LGBM_weighted,Kidney_Risk,0.5,0.42926356589147285
LGBM_weighted,Liver_Stress,0.45,0.5421288647628039
LGBM_weighted,Thyroid_Abnormal,0.45,0.48272716907992247
