test,cluster,lower_5th,upper_95th
Hemoglobin,0,7.1,14.4
Hemoglobin,1,11.8,16.7
Hemoglobin,2,9.2,15.1
Hemoglobin,3,10.8,16.3
Hemoglobin,4,11.09,15.7
RBC Count,0,2.4395,5.15
RBC Count,1,4.08,5.86
RBC Count,2,3.6,5.59
RBC Count,3,4.0,5.76
RBC Count,4,3.6,5.6819999999999995
MCV,0,76.495,102.205
MCV,1,78.6,102.0
MCV,2,67.4095,99.3
MCV,3,73.0,95.9
MCV,4,86.75,91.22
MCH,0,24.3,32.9
MCH,1,25.2,33.4
MCH,2,20.4,32.3
MCH,3,23.1,32.0
MCH,4,28.6,30.959999999999994
MCHC,0,29.1,34.6015
MCHC,1,29.2,35.1
MCHC,2,28.2,34.6
MCHC,3,30.3,35.1
MCHC,4,30.59,34.64
MCHC,0,29.1,34.6015
MCHC,1,29.2,35.1
MCHC,2,28.2,34.6
MCHC,3,30.3,35.1
MCHC,4,30.59,34.64
HbA1c,0,5.095,9.5
HbA1c,1,5.1,9.8
HbA1c,2,5.0,9.2
HbA1c,3,5.0,9.9
HbA1c,4,5.2,10.239999999999997
HbA1c_missing,0,0.0,1.0
HbA1c_missing,1,0.0,1.0
HbA1c_missing,2,0.0,1.0
HbA1c_missing,3,0.0,1.0
HbA1c_missing,4,0.0,1.0
Estimated Average Glucose (eAG),0,97.0,226.14099999999988
Estimated Average Glucose (eAG),1,97.0,240.0
Estimated Average Glucose (eAG),2,96.8,217.34
Estimated Average Glucose (eAG),3,99.67,237.43
Estimated Average Glucose (eAG),4,107.10799999999999,273.3999999999999
Glucose Fasting,0,72.0,232.14999999999986
Glucose Fasting,1,80.0,197.31299999999982
Glucose Fasting,2,79.21,172.60399999999993
Glucose Fasting,3,80.0,210.0
Glucose Fasting,4,83.9,381.0514042982718
Estimated Average Glucose (eAG)_missing,0,0.0,1.0
Estimated Average Glucose (eAG)_missing,1,0.0,1.0
Estimated Average Glucose (eAG)_missing,2,0.0,1.0
Estimated Average Glucose (eAG)_missing,3,0.0,1.0
Estimated Average Glucose (eAG)_missing,4,0.0,1.0
Glucose Fasting_missing,0,0.0,1.0
Glucose Fasting_missing,1,0.0,1.0
Glucose Fasting_missing,2,0.0,1.0
Glucose Fasting_missing,3,0.0,1.0
Glucose Fasting_missing,4,0.0,1.0
HDL Cholesterol,0,24.294,62.129999999999974
HDL Cholesterol,1,28.319000000000003,60.0
HDL Cholesterol,2,29.8585,66.0
HDL Cholesterol,3,30.0,62.22099999999991
HDL Cholesterol,4,29.0,73.1
LDL Cholesterol,0,36.91,153.04299999999995
