test,lower_5th,upper_95th
Hemoglobin,10.0,16.2
RBC Count,3.78,5.75
MCV,71.77200000000002,99.6
MCH,24.4,34.5
MCHC,24.4,34.5
HbA1c,0.0,8.1
HbA1c_missing,0.0,8.1
Estimated Average Glucose (eAG),0.0,171.42
Glucose Fasting,0.0,171.42
Estimated Average Glucose (eAG)_missing,0.0,171.42
Glucose Fasting_missing,0.0,171.42
HDL Cholesterol,0.0,202.4
LDL Cholesterol,0.0,202.4
Non HDL Cholesterol,0.0,202.4
TC/ HDL CHOLESTEROL RATIO,0.0,202.4
TOTAL CHOLESTEROL,0.0,202.4
VLDL CHOLESTEROL,0.0,202.4
Non HDL Cholesterol_missing,0.0,202.4
LDL / HDL RATIO,0.0,136.8
LDL / HDL RATIO_missing,0.0,136.8
Triglycerides,61.8,330.03999999999945
BUN / SR.CREATININE RATIO,0.0,15.0
Creatinine,0.0,15.0
BUN / SR.CREATININE RATIO_missing,0.0,15.0
Creatinine_missing,0.0,15.0
BLOOD UREA NITROGEN (BUN),0.0,16.7
BLOOD UREA NITROGEN (BUN)_missing,0.0,16.7
Urea,0.0,26.0
Urea_missing,0.0,26.0
Uric Acid,0.0,6.9
Uric Acid_missing,0.0,6.9
EST. GLOMERULAR FILTRATION RATE (eGFR),0.0,119.0
EST. GLOMERULAR FILTRATION RATE (eGFR)_missing,0.0,119.0
AST/ALT Ratio,0.0,44.0
SGPT (ALT),0.0,44.0
AST/ALT Ratio_missing,0.0,44.0
ASPARTATE AMINOTRANSFERASE (SGOT ),0.0,101.9
ASPARTATE AMINOTRANSFERASE (SGOT )_missing,0.0,101.9
GAMMA GLUTAMYL TRANSFERASE (GGT),0.0,49.0
GAMMA GLUTAMYL TRANSFERASE (GGT)_missing,0.0,49.0
Bilirubin Direct,0.1,1.0
Bilirubin Indirect,0.1,1.0
Bilirubin Total,0.1,1.0
ALKALINE PHOSPHATASE,0.0,121.0
ALKALINE PHOSPHATASE_missing,0.0,121.0
THYROID STIMULATING HORMONE (TSH),0.0,5.788
THYROID STIMULATING HORMONE (TSH)_missing,0.0,5.788
TOTAL TRIIODOTHYRONINE (T3),0.0,116.0
TOTAL TRIIODOTHYRONINE (T3)_missing,0.0,116.0
TOTAL THYROXINE (T4),0.0,10.0
TOTAL THYROXINE (T4)_missing,0.0,10.0
